Setting,NoisePct,Mean_F1AtZero,SD_F1AtZero,N_F1AtZero,Mean_MaximumF1,SD_MaximumF1,N_MaximumF1,Mean_BestThreshold,SD_BestThreshold,N_BestThreshold,Mean_PrecisionAtBestThreshold,SD_PrecisionAtBestThreshold,N_PrecisionAtBestThreshold,Mean_RecallAtBestThreshold,SD_RecallAtBestThreshold,N_RecallAtBestThreshold,Mean_AUPRC,SD_AUPRC,N_AUPRC,Mean_NormalizedAUPRC,SD_NormalizedAUPRC,N_NormalizedAUPRC,Mean_PrecisionAtTrueEdgeBudget,SD_PrecisionAtTrueEdgeBudget,N_PrecisionAtTrueEdgeBudget,Mean_RecallAtTrueEdgeBudget,SD_RecallAtTrueEdgeBudget,N_RecallAtTrueEdgeBudget,Mean_F1AtTrueEdgeBudget,SD_F1AtTrueEdgeBudget,N_F1AtTrueEdgeBudget,Mean_BlockRelativeFrobeniusError,SD_BlockRelativeFrobeniusError,N_BlockRelativeFrobeniusError
Full_HG,0,0.532865571730987,0.00217141487905214,3,1,0,3,0.0347859641005123,0.00162662564910831,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,3,0.176652376714241,0.00417054928678015,3
Full_HG,10,0.61154128230197,0.00473888800142943,3,1,0,3,0.0294615818402298,0.00162662564910831,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,3,0.2765146172012,0.00366858888384011,3
Full_HG,25,0.838210094872086,0.00572378989320611,3,1,0,3,0.0205876114064257,0.000614806706248511,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,3,0.440471056114278,0.00368901915806844,3
Full_HG,50,0.89395273214867,0.0238487418299399,3,0.999722453510963,0.000480724620474305,3,0.00780909398174766,0.00342309886907938,3,0.999445368829728,0.000960649366372089,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,3,1,0,3,0.67808203458275,0.00504108810149213,3
Observed_only_HGmodel,0,0.983192095579566,0.00288852806255622,3,0.991086006153872,0.00339582656479257,3,0.0372706758219775,0.00928337768374083,3,0.99330250252174,0.00168529327767056,3,0.988888888888889,0.0058531409738071,3,0.990328987204597,0.004328009964058,3,0.990282248520124,0.00434892664531806,3,0.988888888888889,0.00419435246403929,3,0.988888888888889,0.00419435246403929,3,0.988888888888889,0.00419435246403929,3,0.296864334279323,0.00722073488113798,3
Observed_only_HGmodel,10,0.954618596973429,0.0541896338592861,3,0.991904192400813,0.00385943671793777,3,0.0422400992649078,0.00267988030234836,3,0.997198879551821,0.00485168293436659,3,0.986666666666667,0.00288675134594813,3,0.989933768653842,0.00606225893418859,3,0.989885119932072,0.00609155700394704,3,0.988888888888889,0.00419435246403929,3,0.988888888888889,0.00419435246403929,3,0.988888888888889,0.00419435246403929,3,0.37026823098281,0.0176994407801733,3
Observed_only_HGmodel,25,0.955567593239259,0.04754773710369,3,0.988602930653426,0.00125485959520655,3,0.0266219113014125,0.00184442011874554,3,0.989441387035776,0.00378175126052487,3,0.987777777777778,0.00254587538608658,3,0.981959859535717,0.00178128569394778,3,0.981872673999844,0.00178989440451058,3,0.987222222222222,0.000962250448649334,3,0.987222222222222,0.000962250448649334,3,0.987222222222222,0.00096225044864927,3,0.50419942651993,0.0230053051294952,3
Observed_only_HGmodel,50,0.9025979907177,0.0111183052453441,3,0.990555965644173,0.00289935711589115,3,0.0102938057032128,0.00122961341249703,3,0.99112389225289,0.00580293705473463,3,0.99,1.35973995551052e-16,3,0.977878998378603,0.00878997181080444,3,0.977772090597912,0.00883245254448537,3,0.988888888888889,0.00192450089729873,3,0.988888888888889,0.00192450089729873,3,0.988888888888889,0.00192450089729867,3,0.706807687334039,0.0104651671711491,3
