BootstrapReplicate,AP_HRGGM,AP_LVGGM,AP_PriorCorrelation,Enrichment721_HRGGM,Enrichment721_LVGGM,Enrichment721_PriorCorrelation
1,0.271207322980919,0.188124360199848,0.19922133231433,1.52407131995388,1.211018832612,1.31811573617633
2,0.285537780889875,0.190931535627581,0.198827610847644,1.54054776665608,1.23573350266531,1.24397172601641
3,0.284683108886236,0.193506174834007,0.207433153349642,1.47464197984727,1.28516284277192,1.29340106612302
4,0.269051201177469,0.183201536703461,0.192175147683945,1.53230954330498,1.1863041625587,1.16982771585649
5,0.282687232992628,0.188184225425689,0.204463826812036,1.42521263974065,1.26044817271861,1.33459218287853
6,0.278484624313477,0.17916513947375,0.187952158271269,1.42521263974065,1.09568370569657,1.12863659910098
7,0.26789970171525,0.200835746793967,0.206999467641981,1.51583309660278,1.28516284277192,1.28516284277192
8,0.270756048564375,0.195533243189087,0.204962029131028,1.51583309660278,1.36754507628294,1.28516284277192
9,0.292500399535645,0.194160824359608,0.213013687101749,1.50759487325168,1.30987751282523,1.33459218287853
10,0.29345692588293,0.187309400269458,0.208500319127181,1.6064535534649,1.211018832612,1.33459218287853
11,0.262366050198012,0.189094136144189,0.211716106326087,1.37578329963404,1.22749527931421,1.33459218287853
12,0.280952542557402,0.181907870193368,0.207728448666511,1.51583309660278,1.10392192904767,1.32635395952743
13,0.284025617091201,0.180632226875145,0.205569317246628,1.49935664990057,1.12039837574988,1.211018832612
14,0.285469930918611,0.197150785083914,0.204879966210976,1.49111842654947,1.29340106612302,1.40049796968735
15,0.295234785538896,0.197167948189498,0.212821055707873,1.45816553314506,1.26044817271861,1.26044817271861
16,0.274192350064306,0.202400766938454,0.219275262899264,1.47464197984727,1.26868639606972,1.42521263974065
17,0.259080217034094,0.172311177684674,0.20101414967633,1.31811573617633,1.03801614223886,1.28516284277192
18,0.281378916131799,0.179858470093365,0.209461058230515,1.48288020319837,1.09568370569657,1.35930685293184
19,0.257721143736775,0.201221739066209,0.208553032098529,1.41697441638955,1.32635395952743,1.37578329963404
20,0.289285800346948,0.186385632989201,0.19569491673313,1.53230954330498,1.26044817271861,1.211018832612
21,0.279087017153688,0.176338733070686,0.195485660908883,1.49935664990057,1.12039837574988,1.211018832612
22,0.253783181221981,0.195562840663277,0.195264242803397,1.30163928947412,1.22749527931421,1.23573350266531
23,0.29081055992858,0.18904445043545,0.215686534237501,1.51583309660278,1.25220994936751,1.40873619303845
24,0.276210877707246,0.187127487086459,0.205335202380872,1.50759487325168,1.28516284277192,1.33459218287853
25,0.283377573664789,0.180999725595486,0.198818429036301,1.48288020319837,1.11216015239878,1.24397172601641
26,0.283982827348883,0.193911355653426,0.202518228707526,1.41697441638955,1.23573350266531,1.29340106612302
27,0.282692559153185,0.190585106761802,0.203119006442167,1.49935664990057,1.16158949250539,1.28516284277192
28,0.307167318167594,0.177309574870864,0.203639521272719,1.68059756362482,1.12039837574988,1.32635395952743
29,0.264318812630167,0.186877525541998,0.202783602849569,1.41697441638955,1.22749527931421,1.30987751282523
30,0.293143417764032,0.186720180096008,0.179096605642731,1.45816553314506,1.14511304580318,1.02977791888776
31,0.285557903487254,0.182776851209053,0.206109994907304,1.54878599000719,1.1863041625587,1.25220994936751
32,0.28112246931316,0.199831261950266,0.218009533352886,1.50759487325168,1.33459218287853,1.39225974633625
33,0.270566332341289,0.179229028022204,0.191615661048969,1.55702421335829,1.13687482245208,1.26868639606972
34,0.306934721420844,0.199455735815804,0.2041516219848,1.53230954330498,1.35930685293184,1.30163928947412
35,0.288219786471258,0.178272460667168,0.207675450630201,1.45816553314506,1.11216015239878,1.36754507628294
36,0.301478196032269,0.183164922611605,0.202736555519892,1.56526243670939,1.13687482245208,1.29340106612302
37,0.3019774734479,0.167020958371396,0.191377774411275,1.46640375649616,0.972110355430042,1.1863041625587
38,0.259576060818497,0.183112745807283,0.19782055971083,1.40873619303845,1.13687482245208,1.26044817271861
39,0.284349752516021,0.18530775899069,0.200792529587116,1.6229300001671,1.16982771585649,1.2027806092609
40,0.282889332766576,0.198594529196608,0.219620615632932,1.51583309660278,1.28516284277192,1.35930685293184
41,0.262832121219505,0.182486901227057,0.210305770882004,1.45816553314506,1.16982771585649,1.30987751282523
42,0.291941271912704,0.186140548968811,0.192479591670326,1.52407131995388,1.16982771585649,1.26044817271861
43,0.302602726291787,0.196071829371935,0.199805139698429,1.69707401032702,1.1863041625587,1.23573350266531
44,0.275071487857786,0.181922894549768,0.201353566529973,1.33459218287853,1.32635395952743,1.31811573617633
45,0.280507370956871,0.191049449697369,0.201887262698345,1.46640375649616,1.2192570559631,1.33459218287853
46,0.278397234592283,0.179711115407901,0.200923622020157,1.49111842654947,1.1863041625587,1.26044817271861
47,0.275954075921497,0.180688488478347,0.204299637619498,1.47464197984727,1.1945423859098,1.28516284277192
48,0.273321251185306,0.181233763009026,0.192523356340074,1.36754507628294,1.15335126915429,1.211018832612
49,0.296333765355689,0.180201598945573,0.198521386737883,1.67235934027372,1.14511304580318,1.2027806092609
