Method,AveragePrecision,NormalizedAP,AUROC,PositiveRateTop721,EnrichmentTop721,RecallTop721,OddsRatioTop721,OR_CI95_Lower,OR_CI95_Upper,FisherRightP,CutoffScoreTop721,NextScore,TiedAtCutoff,AP_PermutationP,EnrichmentTop721_PermutationP
HR-GGM,0.250179579293832,1.48600641676939,0.589190093708166,0.255201109570042,1.51583309660278,0.369477911646586,2.09842365583745,1.70847963381509,2.57736864532903,3.40173927376677e-12,0.0380923948459164,0.0379345067081941,1,0.0001999600079984,0.0001999600079984
LV-GGM,0.184891996320677,1.09821390585655,0.532530120481928,0.201109570041609,1.1945423859098,0.291164658634538,1.34354343720491,1.08397653364216,1.66526572451824,0.00452056667013477,0.0157479924313073,0.0157442114036698,1,0.0255948810237952,0.00399920015996801
Prior correlation,0.201356352172675,1.19600821230276,0.577802265974467,0.21497919556172,1.27692461942082,0.311244979919679,1.51217175411305,1.22370915278516,1.86863308878005,0.000101543647993222,0.0391226500437672,0.0391053958629182,1,0.000599880023995201,0.0001999600079984
