Method,Permutation,MaximumSeedContrastEigenvalue,FWERThreshold
LV-GGM,1,0.01077868000704,0.0130526397145708
LV-GGM,2,0.0022609513280626,0.0130526397145708
LV-GGM,3,0.00475704890198501,0.0130526397145708
LV-GGM,4,0.0126158365486871,0.0130526397145708
LV-GGM,5,0.00522898342466843,0.0130526397145708
LV-GGM,6,0.00357884670609144,0.0130526397145708
LV-GGM,7,0.00474226505923475,0.0130526397145708
LV-GGM,8,0.00755738157087145,0.0130526397145708
LV-GGM,9,0.0065247556233964,0.0130526397145708
LV-GGM,10,0.00229231245675014,0.0130526397145708
LV-GGM,11,0.00415882225007652,0.0130526397145708
LV-GGM,12,0.00549629931029433,0.0130526397145708
LV-GGM,13,0.00514967311254004,0.0130526397145708
LV-GGM,14,0.00515342393221018,0.0130526397145708
LV-GGM,15,0.0129504431233302,0.0130526397145708
LV-GGM,16,0.0047960650736405,0.0130526397145708
LV-GGM,17,0.00260136679278972,0.0130526397145708
LV-GGM,18,0.00176285507900595,0.0130526397145708
LV-GGM,19,0.00223323558837944,0.0130526397145708
LV-GGM,20,0.00831993103145455,0.0130526397145708
LV-GGM,21,0.00792777318513069,0.0130526397145708
LV-GGM,22,0.00700021456753812,0.0130526397145708
LV-GGM,23,0.00196330489124438,0.0130526397145708
LV-GGM,24,0.00514545055105205,0.0130526397145708
LV-GGM,25,0.0045705226224771,0.0130526397145708
LV-GGM,26,0.011666131573116,0.0130526397145708
LV-GGM,27,0.00813823492342349,0.0130526397145708
LV-GGM,28,0.00248034263269622,0.0130526397145708
LV-GGM,29,0.0129364153578149,0.0130526397145708
LV-GGM,30,0.00800173238694759,0.0130526397145708
LV-GGM,31,0.0136006991620597,0.0130526397145708
LV-GGM,32,0.00197959728218682,0.0130526397145708
LV-GGM,33,0.00409149972084475,0.0130526397145708
LV-GGM,34,0.00355460771630326,0.0130526397145708
LV-GGM,35,0.00296500700178215,0.0130526397145708
LV-GGM,36,0.00339037991729822,0.0130526397145708
LV-GGM,37,0.00186592322703491,0.0130526397145708
LV-GGM,38,0.00726803303948779,0.0130526397145708
LV-GGM,39,0.0116910889529807,0.0130526397145708
LV-GGM,40,0.0061812447830789,0.0130526397145708
LV-GGM,41,0.00546476980553414,0.0130526397145708
LV-GGM,42,0.01023936172257,0.0130526397145708
LV-GGM,43,0.0134376969076746,0.0130526397145708
LV-GGM,44,0.00141745595931946,0.0130526397145708
LV-GGM,45,0.0034865045025774,0.0130526397145708
LV-GGM,46,0.00554867913318469,0.0130526397145708
LV-GGM,47,0.0149447563864494,0.0130526397145708
LV-GGM,48,0.00340371450228767,0.0130526397145708
LV-GGM,49,0.00707464041492648,0.0130526397145708
LV-GGM,50,0.00515604086565276,0.0130526397145708
LV-GGM,51,0.00290685872309736,0.0130526397145708
LV-GGM,52,0.00761007690425321,0.0130526397145708
LV-GGM,53,0.00585880503408311,0.0130526397145708
LV-GGM,54,0.0038682435375337,0.0130526397145708
LV-GGM,55,0.00162773021264957,0.0130526397145708
LV-GGM,56,0.00497398925152563,0.0130526397145708
LV-GGM,57,0.00540552043331062,0.0130526397145708
LV-GGM,58,0.00643082648836297,0.0130526397145708
LV-GGM,59,0.0062821757653982,0.0130526397145708
LV-GGM,60,0.00546834743559388,0.0130526397145708
LV-GGM,61,0.00703250535794301,0.0130526397145708
LV-GGM,62,0.00563358401684886,0.0130526397145708
LV-GGM,63,0.00309524817638427,0.0130526397145708
LV-GGM,64,0.00288622845111168,0.0130526397145708
LV-GGM,65,0.00476904443418771,0.0130526397145708
LV-GGM,66,0.00631338301456223,0.0130526397145708
LV-GGM,67,0.00484264389756006,0.0130526397145708
LV-GGM,68,0.00321214213754046,0.0130526397145708
LV-GGM,69,0.0025513417341808,0.0130526397145708
LV-GGM,70,0.00376002387618089,0.0130526397145708
LV-GGM,71,0.00558877130223755,0.0130526397145708
LV-GGM,72,0.00446340969591528,0.0130526397145708
LV-GGM,73,0.0110655878773149,0.0130526397145708
LV-GGM,74,0.00485481330555984,0.0130526397145708
LV-GGM,75,0.00777961928735774,0.0130526397145708
LV-GGM,76,0.00598368382902512,0.0130526397145708
LV-GGM,77,0.00620976335160048,0.0130526397145708
LV-GGM,78,0.00388319175071206,0.0130526397145708
LV-GGM,79,0.00265278177317566,0.0130526397145708
LV-GGM,80,0.00484066106096963,0.0130526397145708
LV-GGM,81,0.00702685417271847,0.0130526397145708
LV-GGM,82,0.00794151634389502,0.0130526397145708
LV-GGM,83,0.00237718459540051,0.0130526397145708
LV-GGM,84,0.00645010709612506,0.0130526397145708
LV-GGM,85,0.0057502500802822,0.0130526397145708
LV-GGM,86,0.00300364759811727,0.0130526397145708
LV-GGM,87,0.00718606582570487,0.0130526397145708
LV-GGM,88,0.0134397699692738,0.0130526397145708
LV-GGM,89,0.00114116704353649,0.0130526397145708
LV-GGM,90,0.00197568492160282,0.0130526397145708
LV-GGM,91,0.00714365953464581,0.0130526397145708
LV-GGM,92,0.00385016317889441,0.0130526397145708
LV-GGM,93,0.0129567859614224,0.0130526397145708
LV-GGM,94,0.00221774318236796,0.0130526397145708
LV-GGM,95,0.00509778804214483,0.0130526397145708
LV-GGM,96,0.00244383377507337,0.0130526397145708
LV-GGM,97,0.0135352672792464,0.0130526397145708
LV-GGM,98,0.00322319668629165,0.0130526397145708
LV-GGM,99,0.0136241114341729,0.0130526397145708
LV-GGM,100,0.00199395310785374,0.0130526397145708
LV-GGM,101,0.00265328901234611,0.0130526397145708
LV-GGM,102,0.00735302140632609,0.0130526397145708
LV-GGM,103,0.00783901589189845,0.0130526397145708
LV-GGM,104,0.0021119397122562,0.0130526397145708
LV-GGM,105,0.00448203818633718,0.0130526397145708
LV-GGM,106,0.00311220817846728,0.0130526397145708
LV-GGM,107,0.00484245589303976,0.0130526397145708
LV-GGM,108,0.00794373538968666,0.0130526397145708
LV-GGM,109,0.0048159624972293,0.0130526397145708
LV-GGM,110,0.00272915844419962,0.0130526397145708
LV-GGM,111,0.00629058018237526,0.0130526397145708
LV-GGM,112,0.00528281199324226,0.0130526397145708
LV-GGM,113,0.00220442338058684,0.0130526397145708
LV-GGM,114,0.00283464188727131,0.0130526397145708
LV-GGM,115,0.0129187413461207,0.0130526397145708
LV-GGM,116,0.0032762884664989,0.0130526397145708
LV-GGM,117,0.00699870932033762,0.0130526397145708
LV-GGM,118,0.00385308993937381,0.0130526397145708
LV-GGM,119,0.00218815135135823,0.0130526397145708
LV-GGM,120,0.00801116681444855,0.0130526397145708
LV-GGM,121,0.00341798271850849,0.0130526397145708
LV-GGM,122,0.0057303859125248,0.0130526397145708
LV-GGM,123,0.00467294106319854,0.0130526397145708
LV-GGM,124,0.00649235529754261,0.0130526397145708
LV-GGM,125,0.00798728084335516,0.0130526397145708
LV-GGM,126,0.0129241864027984,0.0130526397145708
LV-GGM,127,0.00433592689314999,0.0130526397145708
LV-GGM,128,0.00570717931172942,0.0130526397145708
LV-GGM,129,0.00740250168220184,0.0130526397145708
