Comparison,Metric,ObservedDifference,CI95_Lower,CI95_Upper,BootstrapTwoSidedP
HR-GGM - LV-GGM,Average precision,0.0652875829731555,0.0668643105840212,0.128358727527886,0.000666444518493835
HR-GGM - LV-GGM,Enrichment at Top 721,0.32129071069298,0.107096903564327,0.510769847768327,0.00466511162945685
HR-GGM - Prior correlation,Average precision,0.0488232271211572,0.0507553013446826,0.109866692673694,0.000666444518493835
HR-GGM - Prior correlation,Enrichment at Top 721,0.238908477181959,0.00823822335110203,0.420149390906204,0.0459846717760746
LV-GGM - Prior correlation,Average precision,-0.0164643558519983,-0.0339208396924754,-0.00039860133286456,0.044651782739087
LV-GGM - Prior correlation,Enrichment at Top 721,-0.0823822335110205,-0.271861370586368,0.0823822335110205,0.30589803398867
