ScoreDefinition,UsesEvaluationLabels,AveragePrecision,NormalizedAP,AUROC,PositiveRateTop721,EnrichmentTop721,OddsRatioTop721,FisherRightP
HR_GGM_ExplicitLH,0,0.250179579293832,1.48600641676939,0.589190093708166,0.255201109570042,1.51583309660278,2.09842365583745,3.40173927376677e-12
LVGGM_PriorSelectedComponent,0,0.184891996320677,1.09821390585655,0.532530120481928,0.201109570041609,1.1945423859098,1.34354343720491,0.00452056667013477
LVGGM_SeedContrastSubspace,0,0.185396477654235,1.10121040341612,0.532763574623698,0.192787794729542,1.14511304580318,1.24937541280188,0.0260783883626807
LVGGM_SeedContrast1D,0,0.185396477654235,1.10121040341612,0.532763574623698,0.192787794729542,1.14511304580318,1.24937541280188,0.0260783883626807
LVGGM_SeedPCA1D,0,0.185396477654235,1.10121040341612,0.532763574623698,0.192787794729542,1.14511304580318,1.24937541280188,0.0260783883626807
LVGGM_SeedPCA90Subspace,0,0.202562273314239,1.20317109330024,0.56907548894766,0.212205270457698,1.26044817271861,1.47721984078383,0.000236912157537899
LVGGM_DominantEigenvector,0,0.161931849002242,0.961836163350664,0.490825088973781,0.158113730929265,0.939157462025634,0.906275741350906,0.816280939724282
LVGGM_OverallLatentMagnitude,0,0.196842482162528,1.169196912122,0.567118065758971,0.21497919556172,1.27692461942082,1.51217175411305,0.000101543647993222
LVGGM_OracleBestTopEigencomponent,1,0.216663270656942,1.28692761968521,0.569771770006857,0.228848821081831,1.35930685293184,1.69680471838745,7.5885011756311e-07
Prior_Correlation,0,0.201356352172675,1.19600821230276,0.577802265974467,0.21497919556172,1.27692461942082,1.51217175411305,0.000101543647993222
